id,api_output,correctness,true_answer
99,"As of my last knowledge update in October 2023, the most populated city in the United States is New York City. It has a population of over 8 million people, making it the largest city in the country by a significant margin. Please verify with the latest data, as population figures can change.",True,"['NY', 'New York', 'Estado Nueva York', 'Nueva York (estado)', 'N.Y.', 'State of N. Y.', '11th state', 'New York, U.S.', 'New york population', 'Ny', 'New York (U.S. state)', 'State of N Y', 'n y state', 'new york s', 'Estado de Nueva York', 'N.Y. state', 'Nýja-Jórvík', 'state of n y', 'n y', 'new york state s', 'N. Y. state', 'New york', 'N.Y. (state)', 'new york population', 'N. Y. (state)', 'new york', 'New Yourk State', 'new york u s state', 'ny', 'state of new york', 'NY (state)', 'NY (U.S. state)', 'N Y (state)', 'State of new york', 'nýja jórvík', 'Religion in New York', 'new york state', 'The State of New York', 'New York (State)', 'ny u s state', 'State of New York', 'Eleventh State', 'NewYork', 'N Y (U.S. state)', 'New York (state)', 'New York State', 'New York state', 'estado de nueva york', 'NEW YORK', 'Nyja-Jorvik', 'N Y', 'ny state', 'US-NY', 'New york state', 'The state of N.Y.', 'The state of NY', 'U.S. state of New York', 'nova york', 'New-York', 'State of NY', 'Nova York', 'new york usa state', 'state of ny', 'New York, U.S.A', 'New Yrok', 'n y u s state', 'state new york', 'new yrok', 'religion in new york', 'us ny', 'nys', 'NYS', 'Newyork', 'State of new yourk', 'u s state of new york', 'N.Y. (U.S. state)', 'New York (U.S. state', 'estado nueva york', 'N. Y. (U.S. state)', 'new york us', 'us state of new york', 'State New York', 'nyja jorvik', 'neo york', ""New York's"", 'eleventh state', 'N. Y.', 'nueva york estado', 'state of new yourk', 'State of N.Y.', 'The state of N Y', 'newyork', 'New York (USA state)', 'NY state', '11th State', 'New York, US', 'new yourk state', 'N Y state', 'new york u s', 'Neo York', 'US state of New York', 'new yourk', 'The state of N. Y.', ""New York State's"", 'New York (USA State)', 'New Yourk']"
100,"The American legal TV drama-comedy you are referring to is ""Boston Legal."" It aired from 2004 to 2008 and is a spin-off of ""The Practice,"" focusing on the attorneys at the fictional law firm Crane, Poole & Schmidt.",True,"['Boston Legal', 'Crane, Poole & Schmidt', 'Chang, Poole & Schmidt', 'chang poole schmidt', 'Boston legal', 'Fleet Street (television)', 'Marlene Stanger', 'crane poole schmidt', 'marlene stanger', 'fleet street television', 'boston legal']"
101,"The international cricket ground in Brisbane, Australia, is called the Gabba, officially known as the Brisbane Cricket Ground.",True,"['Brisbane Cricket Ground', 'The Gabba', ""The Gabba'"", 'Brisbane cricket ground', 'gabba stadium', 'QCA Ground', 'gabba', 'The GABBA', 'brisbane cricket ground', 'Gabba Stadium', 'qca ground']"
102,"Mount Fujiyama, also known as Mount Fuji, is located on the island of Honshu in Japan.",True,"['Honshu', 'Honshū', 'Main island Japan', 'honsyu japan', 'honsyu', 'main island japan', 'honshu japan', 'honshû japan', 'honsyuu', 'honsyû japan', 'Honshu I.', 'Japanese mainland', 'benzhou', 'Honsyuu, Japan', 'Honshuu, Japan', 'Honshu, Japan', 'honshuu japan', 'Honsyu', 'Honsyu Island', 'Honsyû, Japan', '本州', 'Honshu Island', 'Honsyuu', 'honshu i', 'Honshu island', 'japanese main island', 'japan main island', 'japanese mainland', 'Honsyu, Japan', 'honshuu', 'honshu island', 'honshu', 'Honsyû', 'Honshuu', 'honshû', 'honsyû', 'Benzhou', 'Honshû', 'Japan main island', 'Japanese main island', 'honshū', 'honsyu island', 'Honshû, Japan', 'honsyuu japan']"
103,Jonny Wilkinson wore the number 10 shirt during the 2011 Rugby World Cup.,True,"['10', '10', '10', '10', '10', 'ten', 'ten', 'ten', 'ten', 'ten']"
104,"The Olympic gold medallists Roger Ducret, Lucien Gaudin, Laura Flessel-Colovic, Gaston Alibert, Pascale Trinquet, Christian d'Oriola, Jehan Buhan, and Albert Robert Ayat represented France in the sport of fencing.",True,"['Fencing', 'Fencing', 'epeeist', 'Épéeist', 'Fencing (sport)', 'olympic fencing', 'Sword Training', 'foilist', 'afl fencing', 'épéeist', 'Epeeist', 'European Fencing', 'Foilist', 'Modern fencing', 'olympic sport of fencing', 'swordplay', 'fencing instructor', 'AFL fencing', 'modern fencing', 'sword training', 'Fencing instructor', 'swordplayer', 'Olympic Sport of Fencing', 'Electric fencing (fencing)', 'Swordplayer', 'fencing', 'fencing sport', 'Swordplay', 'european fencing', 'Sport fencing', 'Olympic fencing', 'sport fencing', 'electric fencing fencing']"
105,"The alcoholic drink you are referring to is ""vodka."" The name ""vodka"" is derived from the Slavic word ""voda,"" which means ""water,"" and it literally translates to ""little water."" Vodka was first distilled from grain in northeastern Europe during the 8th to 9th centuries.",True,"['Vodka', 'Wodka (disambiguation)', 'Balkan 176°', 'balkan 176deg', 'vodka', 'vodak', 'Wodka', 'Vodka and Coke', 'Vokda', 'blackcurrant vodka', 'filtering vodka', 'Водка', 'Vodak', 'Filtering vodka', 'balkan 176°', 'Blackcurrant vodka', 'vokda', 'vodka and coke', 'Russian vodka', 'Balkan 176deg', 'russian vodka', 'wodka', 'wodka disambiguation', 'водка']"
106,"The 1995 autobiography 'Dreams From My Father' is by Barack Obama, the 44th President of the United States.",True,"['Barack Obama', 'Barack', 'Obama', 'Barack Obam', 'barack obama junior', 'Barck Obama', 'Barack Obana', 'Berack Obama', 'Barrack obama', 'President Obama', 'barack obama', 'sen obama', 'Obama 44', 'Barak obama', 'Barack Obama, Junior', 'President Barack', 'sen barack obama', 'Barak h obama', 'president barack', 'presidant barack obama', 'Sen. Obama', 'brock obama', 'barakeh obama', 'President Barack Hussain Obama', 'berrack obama', 'baraq obama', 'professor obama', 'Barrack Hussein Obama', 'President Barack Obama', 'Barack H. Obama, Junior', 'Barack Obama II', 'barach obama', 'barok oboma', 'obama ii', 'Barack H. Obama Jr', 'barakc obama', 'Baraq Hussein Obama', 'barack obbama', 'Barack H. Obama II', 'bacak obama', 'barak obama', 'Barack H. Obama Jr.', 'obama', 'barack hussein', '44th President of the United States', 'barack ii', '2008 Democratic Presidential Nominee', 'President Barack H. Obama', '2008 democratic presidential nominee', 'barack o bama', '44th president of the united states of america', 'Barack Hussein Obama', ""Obama's Birthday"", 'Barack II', 'barack h obama ii', 'Barack Obama, Jr', 'obahma', 'Berak Obama', 'Barack hussein Obama', 'Barack H. Obama, Jr', ""Barack O'Bama"", 'Barack Obama, Jr.', 'barack obama ii', '44th president of united states', 'berak obama', 'Barack H. Obama, Jr.', 'Barak Obama', 'Baraq Obama', 'senator barack obama', 'Sen Obama', 'Brock Obama', 'Barac Obama', 'Barak hussein obama', 'barack h obama junior', 'Obama Barack', 'Burack obama', 'Barack obama', 'barack obama jr', 'Barack Obbama', 'obama barrack', 'Barack Obamba', 'bhoii', 'Barakc Obama', 'Borrack Obama', 'Barack H Obama, Jr', 'Barack H. Obama', 'barry obama', 'senator obama', 'Barack Obama Jr', 'Obama barack', 'Barack Hussein Obama, Jr', 'Barac obama', 'barac obama', 'barck obama', 'baruch obama', 'barock obama', 'Barrak Obama', 'Baraka Obama', 'barackobama', 'Barack H Obama Junior', 'barack obam', 'barack h obama', 'Barrack Obama', 'Obama Hussein Barack', 'barack', 'obama barack', '44th president of united states of america', 'president obama', 'Barack Hussein Obama II', 'Obama, Barrack', 'Baruch Obama', 'Barack Obama.', 'Barack H Obama, Jr.', 'Barackobama', 'Barack Hussein obama', 'Barack Obama jr', 'obama hussein barack', 'Obama, Barack', 'us president barack obama', 'Barack H Obama, Junior', 'Barrack Hussain Obama', 'Barack H Obama Jr.', 'United States President Barack Obama', 'barrack hussain obama', 'Barack Hussein Obama Junior', 'president barack hussain obama', 'berrak obama', 'Berrack Obama', 'OBAMA', 'barrak obama', 'President Barack Hussein Obama', 'Barack H Obama', 'President Barack Hussein Obama II', 'Barack Obama Jr.', 'Sen. Barack Obama', 'b h obama', '0bama', 'Barack Hussein Obama, Junior', 'burack obama', 'Barak Obamba', 'Berrak Obama', 'hussein obama', 'Professor Obama', 'Bacak Obama', 'Obama, Barack Hussein', 'bobama', ""Barack Obama's"", ""O'Bama"", 'Barack Hussein Obama, Jr.', 'Barack Hussein Obama Jr', 'barrack obama', 'obamma', 'president barack obama', 'Barack OBama', 'Domestic policy of Barack Obama', 'BHOII', 'barack hussein obama junior', 'barack obama s', 'President obama', 'B. Obama', 'OBAMA!', 'obama barack hussein', 'o bama', 'Bobama', 'Barry Obama', 'BARACK OBAMA', 'president barack hussein obama', 'Barack Hussein', 'Obama II', 'Barack H Obama Jr', 'Brack obama', 'barak obamba', 'Senator Barack Obama', 'Senator Obama', ""O'bama"", 'Obahma', 'borrack obama', 'president barack h obama', 'president barack hussein obama ii', 'BarackObama', 'b obama', 'B. Hussein Obama', 'Barack Obama Junior', 'pres obama', 'brack obama', 'Pres. Obama', 'berack obama', 'Barakeh Obama', 'barak h obama', 'baraka obama', 'Barack Hussein Obama Jr.', 'Brack Obama', 'baraq hussein obama', 'obama 44', 'Borack Obama', 'barack hussein obama ii', 'obama s birthday', 'b hussein obama', 'US President Barack Obama', 'borack obama', 'barack hussein obama jr', 'barack hussein obama', 'barack h obama jr', 'Obamma', 'barack obma', 'Barach Obama', 'B. H. Obama', 'barack obamba', 'Presidant barack obama', 'President barack obama', 'Barok Oboma', 'Barack obma', 'Hussein Obama', 'Barock obama', 'united states president barack obama', 'barrack hussein obama', 'barack obana', 'barak hussein obama', 'domestic policy of barack obama', 'Barak h. obama', 'Barack H. Obama Junior']"
107,"Harry Potter's first kiss was with Cho Chang. This moment occurs in ""Harry Potter and the Order of the Phoenix"" during a scene in the Room of Requirement.",True,"['Cho Chang', 'Ginny Weasley', 'Lavender Brown', 'Fred Weasley', ""Dumbledore's Army"", 'Parvati Patil', 'seamus finnigan', 'Colin and Dennis Creevey', 'List of Minor Ravenclaw characters', 'Ginny Weasley (character)', 'Minor Ravenclaws', 'longbottom family', 'hogwarts students', 'anthony goldstein', 'Lavender Brown (Harry Potter)', 'Ginny (Harry Potter)', ""Students in Harry Potter's year"", 'minor ravenclaws', 'd harry potter series', 'minor gryffindors', 'Ginevra Molly Potter', 'Colin Creevey', 'Dennis Creevey', 'Ernie Macmillan', ""Harry Potter's Wife"", 'Minor Huffelpuffs', 'ginevra molly 22ginny 22 weasley', 'ginny harry potter', 'luna harry potter', 'Hannah Abbott', 'jenny weasley', 'List of Minor Hufflepuff Characters', 'cho chang', 'dennis creevey', 'Dennis Creevy', 'harry potter s wife', 'ginevra 22ginny 22 molly weasley', 'Susan Bones', 'lavender brown disambiguation', 'Ginevra Potter', 'dumbledore s army members', 'Seamus Finnigan', 'séamus finnegan', 'sitara shah', 'Dean Thomas (Harry Potter)', 'Alicia Spinnet', 'ginny weasley character', 'Professor Longbottom', 'fred and george weasley', 'Weasley twins', 'Hogwarts students', 'fred weasley', ""Dumbledore's Army members"", 'D.A. Harry Potter Series', ""Gryffindors in Harry Potter's Year"", 'roger davies fictional character', 'george weasley', 'Anthony Goldstein', 'dai llewllyn', 'ernie macmillian', 'Ginny weasley', 'miss s fawcett', 'Miss S. Fawcett', 'justin finch fletchley', 'katie bell harry potter', 'Terry Boot', 'Minor Harry Potter characters in Hufflepuff', 'Minor characters associated with Quidditch', 'Jinny weasley', 'Ginerva Potter', 'Luna (Harry Potter)', 'roger davies harry potter character', 'marietta edgecombe', 'jinny weasley', 'students in harry potter s year', 'colin and dennis creevey', 'luna lovegood', 'All about Luna Lovegood', ""Gryffindors in Harry's Year"", 'ginevra molly ginny weasley', 'Micheal Corner', 'colin and dennis creevy', 'george and fred weasley', 'lovegood', 'Lee Jordan (Harry Potter)', 'michael corner', 'Seamus Finnegan (Harry Potter character)', 'creevey brothers', 'George and Fred Weasley', 'List of minor Ravenclaw characters', 'Longbottom family', 'The Wonder of Wigtown Wanderers', 'alicia spinnet', 'urquhart harry potter character', 'Ginevra Molly Ginny Weasley', ""Students in Harry Potter's Year"", 'Padma Patil', 'Lavender Brown (disambiguation)', 'neville longbottom', 'minor harry potter characters in hufflepuff', 'Sitara Shah', 'The Gryffindor Chasers', 'Michael Corner', 'Ernie Macmillian', 'minor characters associated with quidditch', 'Ginerva Weasley', 'ginerva weasley', 'list of minor ravenclaw characters', 'Minor characters associated with quidditch', 'lavender brown', 'colin creevy', 'professor longbottom', 'ginny weasley', 'all about luna lovegood', 'ginevra potter', 'Ginny weezley', 'Luna Lovegood', 'List of Minor Ravenclaw Characters', 'Ginevra Weasley', 'Ginny weezly', 'George Weasley', 'List of Minor Gryffindor Characters', 'luna lovegood biography', 'Roger Davies (Harry Potter character)', 'Neville longbottom', 'ginerva ginny weasley', 'dean thomas harry potter', 'Lovegood', 'lavender brown harry potter', 'C. Warrington', 'Justin Finch-Fletchley', 'Neville Longbottom', 'parvati patel', 'c warrington', 'Jenny weasely', 'Zacharias Smith', 'Minor Hufflepuffs', 'minor huffelpuffs', 'Ginevra Molly Weasley', 'Séamus Finnegan', 'Colin Creevy', ""Gryffindors in Harry's year"", 'zacharias smith', 'Urquhart (Harry Potter character)', 'terry boot', 'weasley twins', 'list of minor hufflepuff characters', 'Minor Gryffindors', 'list of minor gryffindor characters', 'The Creevey Brothers', 'padma patil', 'minor slytherin characters', 'gryffindors in harry potter s year', 'susan bones', ""Gryffindors in Harry Potter's year"", 'dumbledore s army', 'ginny weezly', 'ginerva potter', 'Colin and Dennis Creevy', 'Parvati Patel', 'Montague (Harry Potter character)', 'ginny potter', 'Ginevra Molly %22Ginny%22 Weasley', 'Luna Lovegood biography', 'List of minor Gryffindor characters', 'gryffindor chasers', 'minor hufflepuffs', 'Nigel Wolpert', 'parvati patil', 'ginevra molly weasley', 'Katie Bell (Harry Potter)', 'ginevra weasley', 'colin creevey', 'Marietta Edgecombe', 'ernie macmillan', 'List of minor Hufflepuff characters', 'Fred and George Weasley', 'Ginevra %22Ginny%22 Molly Weasley', 'Dai Llewllyn', 'Justin Finch Fletchley', 'List of Minor Gryffindor characters', 'wonder of wigtown wanderers', 'gryffindors in harry s year', 'hannah abbott', 'Jenny weasley', 'jenny weasely', 'nigel wolpert', 'montague harry potter character', 'angelina johnson', 'Cho chang', 'seamus finnegan harry potter character', 'micheal corner', 'lee jordan harry potter', 'dennis creevy', 'ginny weezley', 'ginevra molly potter', 'Angelina Johnson', 'Ginny Potter', 'Minor Slytherin characters', 'Ginerva (Ginny) Weasley', 'Roger Davies (fictional character)']"
108,Noel Coward died in 1973 in Jamaica.,True,"['Jamaica', 'Jamaica, the Nation', 'Xaymaca', 'Jamaca', 'jamacian', 'jamrock', 'xamayca', 'ISO 3166-1:JM', 'jamica', 'castleton botanical gardens jamaica', 'america jamaica', 'jameca', 'Name of Jamaica', 'Xamayca', 'Indigenous peoples of Jamaica', 'Jamrock', 'America/Jamaica', 'Jamiaca', 'jamaica country', 'Jameca', 'castleton botanical garden', 'name of jamaica', 'indigenous peoples of jamaica', 'Castleton Botanical Garden', 'iso 3166 1 jm', 'Jamica', 'lambsriver westmoreland jamaica', 'Lambsriver, Westmoreland, Jamaica', 'xaymaca', 'jamaica', 'jamaica nation', 'jamiaca', 'Jamaica (the country)', 'Castleton Botanical Gardens, Jamaica', 'jamaca', 'Jamacian']"
109,The Wirral-born Radio 1 disc jockey who died in Peru in 2004 was Johnnie Walker.,False,"['John Peel', 'peel sessions', 'Peel Session', 'Margrave of the Marshes', 'John peel', 'margrave of marshes', 'John Peel Session', 'peel acres', 'peel session', 'john peel session', 'John Robert Parker Ravenscroft', 'Peel Acres', 'john robert parker ravenscroft', 'john peel sessions', 'Peel session', 'john peel', 'John Peel Sessions', 'Peel Sessions']"
110,"The title of George Washington's pronouncement in 1793 that provided a basis for the USA to avoid involvement in foreign conflicts is known as his ""Farewell Address."" In this address, Washington emphasized the importance of neutrality and warned against entangling alliances with foreign nations.",False,"['Proclamation of Neutrality', 'Neutrality Proclamation', 'The Proclamation of Neutrality', 'neutrality proclamation', 'proclamation of neutrality']"
111,The waters of the Gulf of Mexico flow to meet the Atlantic Ocean through the Straits of Florida. This narrow passage separates the Florida Keys from Cuba and connects the Gulf of Mexico to the Atlantic Ocean.,True,"['Florida Straits', 'Florida Strait', 'Straits of Florida', 'straits of florida', 'florida straights', 'Strait of Florida', 'Florida Straights', 'Straits of florida', 'Straights of Florida', 'strait of florida', 'straights of florida', 'florida strait', 'Strait of florida', 'florida straits']"
112,"The 2007 movie that earned Eddie Murphy the Golden Raspberry for Worst Actor, Worst Supporting Actor, and Worst Supporting Actress is ""Norbit."" In this film, Murphy played multiple roles, which contributed to the negative reception and the Razzie nominations.",True,"['Norbit', 'Norbit Albert Rice', 'norbit albert rice', 'rasputia', 'Norbit (film)', 'Rasputia', 'norbit', 'norbit film']"
113,"In the 1993 film ""Addams Family Values,"" Gomez Addams was played by Raúl Juliá.",True,"['Raul Julia', 'Raul Julia', 'julia raul', 'Raul Rafael Carlos Julia y Arcelay', 'Raúl Juliá', 'raúl julia', 'raul r c julia', 'raúl rafael juliá y arcelay', 'raul rafael carlos julia y arcelay', 'Raul Rafael Carlos Julia', 'Raul Rafael Julia y Arcelay', 'Julia, Raul', 'raul y arcelay', 'Raúl Rafael Juliá y Arcelay', 'raul rafael julia y arcelay', 'raul r c julia y arcelay', 'Raul R. C. Julia y Arcelay', 'Merel Poloway', 'Raul y Arcelay', 'Raul Julia y Arcelay', 'raúl juliá', 'Raul R. C. Julia', 'merel poloway', 'raul julia', 'raúl júliá', 'raul rafael carlos julia', 'Raúl Julia', 'raul julia y arcelay', 'Raúl Júliá']"
114,"Gibraltar is linked by ferry to the North African city of Tangier, which is located in Morocco.",True,"['Tanger', 'Tangier', 'Tánger', 'tánger', 'tangere', 'tangiere', 'Tangere', 'Tingi', 'Tanjah', 'Ṭanja', 'titga', 'tanger province', 'Port Tangier', 'Tangiers', 'tingi', 'tanjier mo', 'Province of Tanger', 'tangier morocco', 'Tangier, Morocco', 'Tanger Province', 'Tangiere', 'Prefecture of Tanger-Assilah', 'tanjah', 'port tangier', 'tanger', 'ṭanja', 'international zone of tangier', 'tangiers', 'wilaya of tanger', 'Tanjiers', 'tangier', 'tanger assilah prefecture', 'International zone of Tangier', 'Tanger-Assilah Prefecture', 'province of tanger', 'tingis', 'Tanjier, MO', 'tanjiers', 'Tingis', 'tangiers morocco', 'Tanger-Assilah', 'Wilaya of Tanger', 'Tangiers, Morocco', 'Titga', 'prefecture of tanger assilah', 'tanger assilah']"
115,"The winner of ""Hell's Kitchen"" in 2009 was **Danny Veltri**. He was the season 5 winner of the reality cooking competition show hosted by Gordon Ramsay.",False,"['Linda Evans', 'linda evans', 'LINDA EVANS', 'Linda Evans (actress)', 'linda evans actress']"
116,"Nagaland is a constituent state of India, which is located in South Asia. It is not part of Southeast Asia.",True,"['Union of India', 'Republic of India', ""India's"", 'India', 'India', 'India', 'India.', 'India.', 'भारतीय गणराज्याच्या', 'india country', 'भारत गणराज्य', 'bhārtiya prajāsattāk', 'جمہوٗرِیت بًارت', 'hindio', 'ಭಾರತ ಗಣರಾಜ್ಯ', 'indea', 'bhārat gaṇarājya', 'iso 3166 1 in', 'जुम्हूरियत भारत', 'இந்தியக் குடியரசு', 'les indes', 'union of india', 'ভাৰত গণৰাজ্য', 'Bhart', 'The Republic of India', 'Hindistan', 'ISO 3166-1 alpha-3/IND', 'Republic Of India', 'bharat ganrajya', 'ভারতরাষ্টৃ', 'ভারতীয় প্রজাতন্ত্র', 'భారత రిపబ్లిక్', 'INDIA', 'india', 'Indian Republic', 'भारतमहाराज्यम्', 'indian republic', 'bhart', 'هندستانڀارت،', 'भारतीय प्रजासत्ताक', 'Indian State', 'Etymology of India', 'etymology of india', 'இந்திய', 'Les Indes', 'ভারত গণরাজ্য', 'ଭାରତ ଗଣରାଜ୍ଯ', 'indya', 'Republic of india', 'Bharat Ganrajya', 'iso 3166 1 alpha 3 ind', 'republic of india', 'india s', 'ഭാരത മഹാരാജ്യം', 'Bhārat Gaṇarājya', 'భారత గణతంత్ర రాజ్యము', 'ভারত', 'ISO 3166-1:IN', 'ਭਾਰਤ ਗਣਤੰਤਰ', 'hindistan', 'Hindio', 'Indya', 'India (country)', 'Indea', 'جمہوریہ بھارت', 'Indian republic', 'ભારતીય ગણતંત્ર', 'indian state', 'Bhārtiya Prajāsattāk']"
117,"Saint Fidelis Church, also known as The Cathedral of the Plains, is located in the state of Kansas.",True,"['Kansas', 'Kansas', 'Kansas', 'Kansas, United States', 'Kansas, United States', 'The Sunflower State', 'Transportation in Kansas', 'sunflower state', 'Sports in Kansas', '34th state', 'Geography of Kansas', 'demographics of kansas', 'cansas', 'economy of kansas', 'State of Kansas', 'kansas united states', 'kansas u s state', 'KS, USA', 'Kans.', 'geography of kansas', 'politics of kansas', 'ks usa', 'kans', 'kansasanian soviet socialist republic', 'Climate of Kansas', 'Law of Kansas', 'Kan.', 'kansas state', 'culture of kansas', 'Thirty-fourth State', 'Kansas (state)', 'Transport in Kansas', 'law of kansas', 'Kansasanian Soviet Socialist Republic', 'brownbackistan', 'Economy of Kansas', 'Sunflower State', 'Kansas (U.S. state)', 'kan', 'Demographics of Kansas', 'sports in kansas', 'state of kansas', 'thirty fourth state', 'Kansas (State)', 'Culture of Kansas', 'kansas', 'Politics of Kansas', 'transportation in kansas', '34th State', 'Brownbackistan', 'religion in kansas', 'Religion in Kansas', 'Thirty-Fourth State', 'Cansas', 'transport in kansas', 'climate of kansas']"
118,"Chatham Dockyard is located in Kent, England.",True,"['Kent', 'Cantium', 'County of Kent', 'kent county', 'county kent', 'Kent County, England', 'Education in Kent', 'Kent, England', 'kent', 'Kent (county)', 'sport in kent', 'Winkhurst Green', 'kent county england', 'Sport in Kent', 'Rhoden Green', 'garden of england', 'Kent (England)', 'Garden of england', 'Wilsley Green', 'cantium', 'county of kent', 'Culture in Kent', 'winkhurst green', 'rhoden green', 'culture in kent', 'County of Kent, England', 'kent england', 'Garden of England', 'County Kent', 'education in kent', 'wilsley green', 'county of kent england']"
119,"A frugivore primarily feeds on fruits. These animals have adaptations that allow them to consume and digest fruit, which is often high in sugars and nutrients. Frugivores play a crucial role in ecosystems by aiding in seed dispersal, as they often consume fruits and then excrete the seeds in different locations. Examples of frugivores include many species of birds, bats, and some primates.",True,"['Fruit', 'Nutritious fruits', 'fruits', 'Fruiting Shrubs', 'Fleshy fruit', 'prutas', 'bacca', 'simple fruit', 'fruit', 'fleshy fruit', 'fruity', 'Fruity', 'fruiting shrubs', 'Bacca', 'Simple fruit', 'Culture of fruits', 'Seed pod', 'Friut', 'culture of fruits', 'friut', 'pod types', 'nutritious fruits', 'Fruits', 'Pod types', 'Prutas', 'Fruiting', 'fruiting', 'seed pod']"
120,"Rincewind and 'The Luggage' appear in Terry Pratchett's Discworld series. Rincewind is a hapless wizard, and 'The Luggage' is a magical, sentient suitcase that follows him around.",True,"['Discworld', 'discworld novels', 'discworld reading order', 'list of discworld characters', 'fictional books in discworld series', 'terry pratchett discworld', 'Discword', 'Discworld novels', 'novels of discworld', 'discworld games', ""Terry Pratchett's Discworld"", 'scouting for trolls', 'nation discworld novel', 'Discworld books', 'Discworld (games)', 'discworld books', 'terry pratchett s discworld', 'Discwrold', 'discworld series', 'Nation (Discworld novel)', 'Fictional books in the Discworld series', 'stealth philosophy', 'discword', 'Discworld series', 'discwrold', 'Stealth philosophy', 'disc world', 'List of Discworld characters', 'Terry Pratchett/Discworld', 'Scouting for Trolls', 'Disc world', 'Novels of Discworld', 'discworld', 'Discworld reading order', 'The Discworld Series']"
121,"A 'mullet' on a coat of arms is a heraldic symbol that typically represents a star with five points. In heraldry, it is often used to signify excellence or achievement. The term ""mullet"" can also refer to a star with more than five points, but the five-pointed star is the most common representation. The design and placement of the mullet can vary, and it may be depicted in different colors or surrounded by other heraldic elements, depending on the specific coat of arms.",True,"['Star', 'Stars', 'stellar radius', 'stellum', 'intermediate mass star', 'End of the Sun', 'Stellar diameter', 'Massive star', 'massive star', 'Intermediate mass star', 'Wishstar', 'wishstar', '🌟', 'intermediate mass stars', 'stars', 'Stellum', 'Intermediate mass stars', 'intermediate star', 'Stellar radius', 'star fission', 'Star fission', 'stellar diameter', 'Intermediate star', 'end of sun', 'star']"
122,Phewa Lake is located in Nepal. It is situated in the city of Pokhara and is known for its stunning scenery and recreational activities.,True,"['Nepal', 'Nepal', 'democratic republic of nepal', 'Sanghiya Loktāntrik Ganatantra Nepāl', 'people of nepalese origin', 'sanghiya loktāntrik ganatantra nepāl', 'Federal Democratic Republic of Nepal', 'Nepalese Republic', 'napol', 'crime in nepal', 'states of nepal', 'Napol', 'name of nepal', 'nepal adhirajya', 'nepalese republic', 'Zone of peace', 'States of Nepal', 'NEPAL', 'chiuri kharka', 'Federal Republic of Nepal', 'state of nepal', 'peace zone', 'republic of nepal', 'Nepali Republic', 'Nēpāl Adhirājya', 'Republic of Nepal', 'subdivisions of nepal', 'nepaul', 'Name of Nepal', 'गणतन्त्र नेपाल', 'zone of peace', 'Nepaul', 'nēpāl adhirājya', 'etymology of nepal', 'nepala', 'Nepol', 'नेपाः', 'Subdivisions of Nepal', 'nepal', 'fdrn', 'FDRN', 'kingdom of nepal', 'Crime in Nepal', 'The Kingdom of Nepal', 'ISO 3166-1:NP', 'संघीय लोकतान्त्रिक गणतन्त्र नेपाल', 'nepali republic', 'Democratic Republic of Nepal', 'nepol', 'iso 3166 1 np', 'federal republic of nepal', 'Chiuri kharka', 'Peace zone', 'State of Nepal', 'Nepala', 'federal democratic republic of nepal', 'Republic of nepal', 'Nepal Adhirajya', 'नेपाल', 'Etymology of Nepal', 'People of Nepalese origin']"
123,"A P McCoy rode his 4000th winner at the Towcester racecourse in the United Kingdom. This milestone victory occurred on November 16, 2013.",True,"['Towcester', 'Towcester, Northamptonshire', 'towchester', 'Towchester', 'towcester', 'towcester northamptonshire']"
124,"The living part of Australia's Great Barrier Reef is approximately 6,000 to 8,000 years old. This age refers to the time since the reef began to form after the last Ice Age, although some of the individual coral structures can be much older, with some corals living for several decades to over a century.",False,"['20,000', '20 000', '20000', 'twenty thousand']"
125,"The Duke of Wellington's suggestion of ""Sparrowhawks"" to Queen Victoria was made in connection with the control of birds at the **Houses of Parliament** in London.",False,"['Crystal Palace', 'Crystal Palace', 'Crystal palace', 'crystal palace', 'crystal palace building', 'Crystal Palace (disambiguation)', 'crystal palace disambiguation', 'Crystal Palace (building)']"
126,"In 'Star Trek', the 'T' in Captain James T. Kirk's name stands for ""Tiberius."" His full name is James Tiberius Kirk.",True,"['Tiberius', 'Tiberius', 'tiberius caesar', 'tiberius', 'Tiberius Julius Caesar', 'tiberius caesar dīvī augustī fīlius augustus', 'tiberius caesar augustus', 'Tiberius Claudius Nero Caesar Augustus', 'tiberius claudius nero caesar augustus', 'Tiberius Caesar Augustus', 'Tiberias Caesar', 'Tiberius Claudius Nero Caesar', 'tiberius julius caesar augustus', 'Emperor Tiberius', 'tiberius julius caesar', 'tiberius claudius nero caesar', 'Tiberius Julius Caesar Augustus', 'tiberias caesar', ""'TIBERIUS'"", 'Tiberius Caesar', 'emperor tiberius', 'Tiberius Caesar Dīvī Augustī Fīlius Augustus']"
